ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
4096K,256,read,98639,404025344000,309.78,288.7,210,320,480,740,3400,15170,826.21,3384172401.8,100%
0004K,336,read,113085,452340000,346.89,346.65,190,310,520,930,4110,20120,968.12,3872496.04,100%
4096K,288,read,98728,404389888000,343.53,322.51,200,300,440,670,2700,22170,837.7,3431204008.96,100%
1024K,408,read,101911,104356864000,463.61,458.94,210,340,570,1030,7000,29700,879.85,900968444.43,100%
0064K,360,read,107125,6856000000,388.59,388.32,190,320,530,960,7280,21560,925.32,59220556.74,100%
0256K,024,read,54317,13905152000,53,51.91,60,80,90,110,140,320,452.76,115905450.89,100%
0016K,144,read,102434,1638944000,168.45,168.38,140,220,320,450,990,6940,854.79,13676568.25,100%
0004K,384,read,113798,455192000,392.57,392.32,190,310,510,870,6840,26190,977.87,3911465.64,100%
0256K,192,read,99949,25586944000,229.83,228.71,180,280,440,670,1710,5650,835.33,213845181.65,100%
0064K,312,read,106624,6823936000,342.03,341.76,180,300,480,800,3630,24360,911.08,58309054.98,100%
8192K,240,read,45970,376586240000,621.56,300.12,500,730,1060,1530,3690,19290,386.09,3162848015.65,100%
0256K,336,read,103430,26478080000,379.02,377.9,200,340,560,1000,4040,34010,886.37,226909539.83,100%
1024K,360,read,101680,104120320000,416.24,411.55,210,360,590,1050,5200,35440,864.16,884896512.8,100%
0016K,408,read,112916,1806656000,414.96,414.89,210,350,610,1110,4960,41750,979.44,15671101.76,100%
0256K,240,read,101034,25864704000,283.57,282.44,190,300,490,810,2860,13060,846.3,216654033.76,100%
0064K,192,read,103577,6628928000,219.76,219.48,160,260,390,590,1780,15640,873.6,55910631.82,100%
0064K,096,read,94467,6045888000,121.84,121.56,120,170,230,300,530,1800,787.85,50422180.14,100%
0064K,384,read,107172,6859008000,416.58,416.3,190,320,540,960,7540,32450,921.87,58999517.18,100%
0064K,288,read,104669,6698816000,326.32,326.04,180,310,520,900,4290,16240,882.26,56464681.77,100%
0016K,384,read,111783,1788528000,396.61,396.53,190,320,530,930,6000,35180,967.64,15482217.43,100%
0004K,240,read,109746,438984000,261.31,261.06,180,290,460,760,2770,10930,918.33,3673335.51,100%
8192K,256,read,45461,372416512000,671.27,321.26,470,680,970,1440,8870,20310,381.26,3123260715.36,100%
0064K,240,read,103113,6599232000,276.74,276.47,170,270,440,770,3370,14410,867.11,55495277.67,100%
0016K,360,read,110936,1774976000,380.36,380.27,200,340,560,1020,5200,27650,945.48,15127689.4,100%
1024K,256,read,101118,103544832000,299.25,294.55,190,300,460,730,3040,20400,855.52,876049286.13,100%
0004K,312,read,113480,453920000,317.84,317.59,170,270,440,720,4460,25410,979.43,3917729.58,100%
0004K,024,read,56084,224336000,51.32,51.02,60,70,90,110,150,910,467.5,1870002.62,100%
0256K,312,read,101889,26083584000,353.01,351.89,180,290,470,790,5290,37270,882.92,226027229.71,100%
0016K,048,read,77025,1232400000,74.73,74.66,80,110,130,160,250,1270,642.21,10275282.49,100%
0004K,288,read,111280,445120000,307.35,307.11,180,290,460,790,4370,18950,936.77,3747060.64,100%
0064K,408,read,106474,6814336000,444.4,444.12,190,330,560,1040,8170,38150,917.07,58692583.65,100%
0016K,312,read,110163,1762608000,331.8,331.73,180,300,470,760,4550,20790,939.91,15038571.64,100%
1024K,144,read,94490,96757760000,182.26,177.61,160,230,330,470,1080,5090,790.02,808982458.81,100%
0064K,256,read,104630,6696320000,291.47,291.2,190,310,500,840,3390,11090,878.23,56206465.14,100%
0256K,384,read,103717,26551552000,429.35,428.23,200,330,550,1020,7340,44690,893.34,228696081.1,100%
1024K,384,read,104076,106573824000,428.98,424.29,220,370,620,1140,4360,31410,894.19,915651031.86,100%
0256K,048,read,74053,18957568000,77.73,76.61,80,110,140,170,260,790,617.43,158063017,100%
4096K,408,read,102672,420544512000,468.94,447.67,240,400,700,1310,6830,20770,869.92,3563194690.51,100%
4096K,312,read,100223,410513408000,366.73,345.57,220,350,540,900,4520,16990,850.9,3485266247.18,100%
8192K,096,read,40526,331988992000,283.9,129.17,290,360,440,530,780,2490,338.12,2769875966.74,100%
0016K,240,read,107505,1720080000,265.1,265.02,170,290,450,740,2670,12170,905.37,14485984.83,100%
8192K,192,read,44794,366952448000,511.86,244.38,440,640,890,1240,2620,7390,375.08,3072656519.4,100%
0016K,288,read,108694,1739104000,312.68,312.6,170,280,450,730,4590,26320,920.95,14735203.63,100%
4096K,384,read,101098,414097408000,445.71,424.56,230,370,600,1040,7970,19070,861.08,3526989661.79,100%
0256K,408,read,105055,26894080000,451.85,450.71,200,350,600,1130,7330,50910,901.17,230699811.09,100%
0004K,360,read,114675,458700000,360.74,360.49,180,290,480,800,4930,28890,996.81,3987229.79,100%
1024K,288,read,100326,102733824000,339.51,334.86,200,320,510,860,4030,22260,848.07,868419242.47,100%
8192K,336,read,46843,383737856000,845.13,406.2,570,870,1340,2120,10840,32830,397.47,3256114444.26,100%
1024K,192,read,96932,99258368000,236.78,232.11,170,260,390,590,1780,13260,810.87,830330111.48,100%
1024K,048,read,71407,73120768000,80.6,76.04,80,110,140,170,250,930,595.4,609692508.15,100%
0004K,192,read,108867,435468000,210.9,210.65,160,250,390,590,1540,9460,910.3,3641204.4,100%
0016K,336,read,109881,1758096000,362.82,362.75,170,280,450,790,6990,22390,926.09,14817494.78,100%
8192K,360,read,46036,377126912000,907.12,443.36,530,820,1290,2260,13780,50970,396.62,3249141258.15,100%
