ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
0016K,048,read,2998480,47975680000,5.76,5.66,10,10,10,10,20,300,8329.23,133267692.03,100%
8192K,360,read,466788,3823927296000,277.45,123,260,390,540,700,1090,2960,1297.4,10628278277.12,100%
4096K,288,read,897178,3674841088000,115.51,88.83,100,160,240,340,590,1710,2492.7,10210086963.06,100%
8192K,144,read,467160,3826974720000,110.93,38.85,110,140,170,200,270,7580,1297.87,10632170716.88,100%
0256K,312,read,3501060,896271360000,32.07,30.6,20,30,50,170,290,6400,9727.44,2490225576.78,100%
0016K,312,read,3822866,61165856000,29.37,29.25,20,30,50,160,290,1400,10620.37,169925882.15,100%
8192K,240,read,469358,3844980736000,183.99,76.21,180,250,340,430,660,1750,1304.26,10684461021.29,100%
0016K,360,read,3783403,60534448000,34.24,34.13,20,30,70,210,360,1480,10511.64,168186253.36,100%
0256K,024,read,1745018,446724608000,4.94,3.78,10,10,10,10,10,410,4847.37,1240927243.09,100%
0256K,408,read,3376076,864275456000,43.48,42.08,20,30,160,250,430,1480,9381.19,2401584985.06,100%
0004K,144,read,3084278,12337112000,16.8,5.82,10,50,50,50,60,1020,8567.85,34271411,100%
4096K,240,read,904311,3704057856000,95.5,68.73,80,130,190,250,420,1170,2512.41,10290841127.08,100%
4096K,384,read,896105,3670446080000,154.16,127.54,120,210,340,510,930,2670,2490.57,10201387369.55,100%
1024K,024,read,952007,974855168000,9.06,4.09,10,20,20,20,20,230,2644.5,2707965267.69,100%
0016K,256,read,3895345,62325520000,23.65,23.52,30,40,50,70,140,1520,10821.08,173137225.67,100%
0064K,312,read,3772411,241434304000,29.76,29.43,20,30,50,160,290,1420,10480.54,670754644.09,100%
0064K,408,read,3651586,233701504000,40.21,39.88,20,30,130,240,440,1530,10145.95,649340856.84,100%
8192K,024,read,181573,1487446016000,47.56,7.32,50,60,60,60,60,220,504.41,4132109331.29,100%
0256K,192,read,3544885,907490560000,19.49,18,20,30,40,40,70,1050,9847.26,2520897574.37,100%
0004K,256,read,3821912,15287648000,24.09,15.38,20,50,60,60,90,1270,10617,42468006.33,100%
8192K,256,read,466671,3822968832000,197.39,83.14,190,270,360,470,730,1830,1296.76,10623062092.55,100%
0016K,408,read,3744733,59915728000,39.2,39.09,20,30,130,240,430,1540,10405.81,166493031.22,100%
0004K,024,read,584073,2336292000,14.78,3.09,10,50,50,50,50,120,1622.5,6489998.99,100%
4096K,024,read,316616,1296859136000,27.27,6.86,30,30,40,40,40,420,879.52,3602520604.19,100%
0004K,240,read,3792571,15170284000,22.78,13.63,20,50,60,60,80,1260,10535.52,42142097.35,100%
0064K,048,read,2896226,185358464000,5.96,5.66,10,10,10,10,20,340,8045.12,514887996.78,100%
0064K,384,read,3682720,235694080000,37.52,37.19,20,30,110,220,420,6630,10231.82,654836765.25,100%
0064K,024,read,2059325,131796800000,4.19,3.9,10,10,10,10,10,410,5720.61,366119084.5,100%
1024K,408,read,2204257,2257159168000,66.6,60.51,30,170,220,250,300,1340,6124.31,6271297824.01,100%
4096K,096,read,819174,3355336704000,42.16,16.04,50,60,60,70,80,290,2275.61,9320882058.05,100%
8192K,408,read,469660,3847454720000,312.48,141.51,290,440,620,820,1310,3250,1305.56,10695130523.93,100%
0256K,144,read,3454045,884235520000,15,13.56,20,20,30,30,50,1020,9594.83,2456277295.96,100%
4096K,144,read,894399,3663458304000,57.93,31.36,60,80,90,110,150,1090,2484.71,10177375115.18,100%
0064K,336,read,3747537,239842368000,32.26,31.94,20,30,60,180,330,1470,10411.83,666357359.16,100%
8192K,048,read,301311,2468339712000,57.33,10.31,60,70,70,80,90,320,837.04,6857023642.69,100%
0256K,384,read,3401386,870754816000,40.63,39.21,20,30,130,240,410,1490,9450,2419201081.93,100%
0004K,192,read,3611842,14447368000,19.13,8.93,20,50,50,60,60,1020,10033.37,40133478.08,100%
0064K,288,read,3781897,242041408000,27.4,27.08,20,30,50,120,240,1340,10506.5,672416192.83,100%
0064K,144,read,3728170,238602880000,13.9,13.58,20,20,30,30,50,620,10356.28,662801933.21,100%
1024K,360,read,2287236,2342129664000,56.64,50.51,30,140,190,210,250,1260,6354.75,6507267834,100%
0004K,408,read,2748796,10995184000,53.41,44.9,20,50,200,280,400,5080,7638.7,30554811.13,100%
0256K,336,read,3480699,891058944000,34.74,33.29,20,30,70,200,320,1360,9670.47,2475640966.16,100%
1024K,240,read,2384465,2441692160000,36.22,29.91,40,50,70,80,130,1140,6624.01,6782984818.73,100%
0004K,096,read,2236680,8946720000,15.45,3.86,10,50,50,50,50,5620,6213.36,24853425.39,100%
8192K,288,read,464375,3804160000000,223.16,95.86,210,310,430,560,850,8260,1290.42,10571158450.69,100%
8192K,192,read,469547,3846529024000,146.85,57.35,150,200,250,310,450,1290,1307.16,10708237190.42,100%
0064K,256,read,3829714,245101696000,24.06,23.72,30,40,50,70,130,1230,10638.97,680893828.51,100%
0004K,360,read,3129131,12516524000,41.4,32.48,20,50,150,230,340,1360,8694.32,34777271.38,100%
0004K,048,read,1164327,4657308000,14.83,3.09,10,50,50,50,50,260,3234.39,12937540.24,100%
