ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
1024K,192,write,18176,5362987008,1226.97,589.88,310,1220,4240,6580,13490,23360,156.57,46084251.85,100%
0064K,288,write,18532,377501696,1810.72,1810.55,400,2010,6660,9440,19210,27720,159.07,3239514.1,100%
8192K,192,write,16674,35218173952,1339.01,475.65,240,660,3190,9700,17420,33500,143.49,302923628.74,100%
8192K,256,write,18238,45483458560,1557.61,631.35,500,1540,5720,9350,17860,27710,164.63,408564830.53,100%
1024K,240,write,18274,5686306816,1499.52,637.39,370,1740,5140,8330,14170,28460,160.03,49763488.35,100%
0064K,024,write,33962,370815488,83.95,83.88,10,10,140,170,3010,4420,285.56,3117820.76,100%
0256K,384,write,19110,1718136832,2338.85,2338.25,560,4020,7740,12380,22720,32820,164.14,14755859.79,100%
0064K,384,write,19649,463554048,2180.31,2180.13,690,3270,6950,10850,19170,47010,177.68,4200749.21,100%
0016K,336,write,17818,88541056,2113.11,2113.07,380,1400,8050,14010,20610,28460,159.38,791750.79,100%
0016K,288,write,19559,110592000,1714.62,1714.57,490,2800,6160,8230,13860,29510,167.99,949667.09,100%
0004K,024,write,28810,20385056,98.91,98.9,10,40,150,180,3010,15060,242.45,171521.36,100%
0256K,048,write,48276,2170103808,116.59,116.29,10,110,160,220,3010,15900,409.01,18391207.87,100%
0064K,360,write,19467,436731904,2124.33,2124.16,630,2910,7930,11760,18160,38910,169.48,3800811.73,100%
0256K,312,write,19730,1877399552,1820.2,1819.57,560,2960,5110,9260,19330,23470,171.47,16276589.38,100%
4096K,024,write,29347,20328595456,97.32,93.29,10,70,190,220,3030,3050,246.44,170712971.94,100%
4096K,360,read,256880,1052180480000,167.99,142.63,160,220,290,390,740,3520,2142.76,8776741524.63,100%
0004K,256,read,299629,1198516000,102.45,102.16,90,140,210,290,580,5630,2498.63,9994505.53,100%
4096K,336,read,252312,1033469952000,159.62,134.29,150,210,280,360,690,4930,2104.73,8620982228.38,100%
0016K,256,read,291491,4663856000,105.25,105.16,90,150,210,300,610,4050,2432.2,38915239.48,100%
8192K,408,read,90561,741875712000,537.9,253.35,450,650,920,1300,3010,13680,758.45,6213226091.04,100%
0256K,024,read,98935,25327360000,29.1,28,40,40,50,60,80,220,824.58,211091922.35,100%
0016K,024,read,103860,1661760000,27.72,27.65,30,40,50,60,80,220,865.61,13849839.74,100%
0004K,288,read,303337,1213348000,113.85,113.58,100,150,220,310,680,5440,2529.54,10118178.65,100%
8192K,336,read,88811,727539712000,452.19,210.23,400,560,770,1060,2140,6420,742.97,6086426740.33,100%
0064K,144,read,251944,16124416000,68.55,68.26,70,100,140,180,310,1680,2100.39,134424934.44,100%
1024K,336,read,271798,278321152000,148.07,142.96,120,190,290,420,1000,7050,2268.99,2323441887.82,100%
0004K,048,read,166905,667620000,34.5,34.1,40,60,70,80,120,470,1391.13,5564536.4,100%
0256K,192,read,260958,66805248000,88.22,87.04,80,130,180,240,450,2270,2176.1,557081394.41,100%
0256K,096,read,206445,52849920000,55.77,54.61,60,80,110,130,240,1130,1721.09,440600000.75,100%
4096K,096,read,161805,662753280000,71.16,47.78,80,90,110,120,170,1110,1348.81,5524727927.36,100%
0256K,256,read,273224,69945344000,112.29,111.11,100,160,220,310,660,4750,2279.5,583552361.18,100%
1024K,024,read,88544,90669056000,32.51,27.95,40,50,60,60,80,190,738.01,755725004.55,100%
0016K,192,read,267226,4275616000,86.16,86.02,80,120,160,220,420,17330,2228.13,35650076.29,100%
1024K,048,read,145556,149049344000,39.55,34.78,50,60,70,80,110,350,1213.16,1242275279.58,100%
0004K,408,read,308527,1234108000,158.55,158.3,130,190,280,410,1010,9850,2573.21,10292828.26,100%
4096K,144,read,198967,814968832000,86.79,62.49,90,110,140,160,230,1040,1658.7,6794041929.75,100%
8192K,360,read,90200,738918400000,476.59,223.81,430,610,820,1100,2030,8770,755.32,6187604417.3,100%
0064K,096,read,220527,14113728000,52.21,51.92,60,80,100,130,210,1110,1838.44,117660417.67,100%
0004K,360,read,306760,1227040000,140.7,140.45,120,170,260,360,840,9080,2558.43,10233706.7,100%
1024K,312,read,270081,276562944000,138.37,133.26,120,180,270,380,880,6030,2254.63,2308745487.67,100%
8192K,240,read,87723,718626816000,327.65,149.28,320,420,540,680,1090,3380,732.43,6000088992.12,100%
0256K,336,read,281453,72051968000,142.82,141.64,120,190,280,410,970,9810,2352.34,602198990.19,100%
0004K,240,read,282254,1129016000,101.97,101.68,90,130,190,260,550,17930,2353.33,9413325.74,100%
4096K,408,read,257958,1056595968000,189.29,163.84,170,240,330,460,1020,6250,2155.07,8827159421.06,100%
0004K,336,read,303053,1212212000,132.88,132.63,110,170,250,360,840,8110,2528.36,10113440.05,100%
0256K,144,read,243115,62237440000,71.03,69.86,70,100,140,180,320,2050,2027.04,518921331.64,100%
0064K,336,read,289723,18542272000,138.83,138.54,110,180,270,410,990,6060,2419.99,154879262.53,100%
4096K,192,read,222297,910528512000,103.58,78.76,110,140,170,200,310,1540,1853.3,7591097640.62,100%
0016K,096,read,222595,3561520000,51.73,51.64,60,80,100,130,220,850,1855.7,29691156.55,100%
0256K,360,read,284638,72867328000,151.29,150.11,120,190,300,450,1110,9390,2379.3,609100551.37,100%
0064K,192,read,270996,17343744000,84.97,84.68,80,120,170,230,430,3030,2259.47,144605808.07,100%
0256K,408,read,287342,73559552000,169.7,168.51,130,210,330,520,1440,8800,2404,615423899.3,100%
0016K,144,read,260750,4172000000,66.23,66.15,70,100,130,170,290,1430,2174.1,34785564.53,100%
0004K,312,read,305134,1220536000,122.61,122.34,110,160,230,320,700,8410,2544.48,10177920.92,100%
0016K,360,read,301820,4829120000,142.87,142.79,120,180,270,390,970,7490,2519.6,40313599.24,100%
0064K,048,read,163470,10462080000,35.22,34.94,40,60,70,80,120,310,1362.52,87201405.27,100%
1024K,288,read,269100,275558400000,128.24,123.14,110,170,250,350,770,5820,2245.55,2299439606.39,100%
4096K,240,read,235472,964493312000,122.22,97.23,120,160,200,250,420,1940,1963.34,8041822289.26,100%
0256K,240,read,269993,69118208000,106.54,105.36,100,150,210,300,600,2960,2252.46,576628956,100%
4096K,288,read,247129,1012240384000,139.71,114.54,130,180,240,310,540,3530,2061.1,8442258788.27,100%
4096K,384,read,258543,1058992128000,177.98,152.51,160,230,310,420,860,8390,2157.23,8836017596.56,100%
8192K,096,read,69965,573153280000,164.51,68.21,170,210,240,270,360,860,583.47,4779776330.14,100%
0004K,192,read,274062,1096248000,84.03,83.67,80,120,160,210,400,16090,2284.63,9138514.14,100%
0256K,288,read,268564,68752384000,121.93,120.75,110,160,230,340,730,4630,2357.24,603454688.6,100%
0016K,048,read,165990,2655840000,34.69,34.61,40,60,70,80,110,420,1383.46,22135421.39,100%
8192K,048,read,50596,414482432000,113.76,43.83,120,140,160,170,210,410,421.87,3455955355.54,100%
8192K,312,read,88896,728236032000,420.03,194.22,380,520,700,920,1730,10680,742.75,6084627797.83,100%
1024K,096,read,203420,208302080000,56.6,51.67,60,80,110,130,200,670,1695.63,1736325059.98,100%
1024K,360,read,276320,282951680000,155.93,150.81,130,200,300,440,1060,11970,2308.45,2363853033.89,100%
0064K,408,read,294891,18873024000,165.26,164.97,120,190,290,450,1300,14360,2468.17,157962695.5,100%
1024K,256,read,263434,269756416000,116.48,111.39,100,160,230,310,630,5080,2197.44,2250176225.23,100%
0016K,408,read,304256,4868096000,160.76,160.69,130,190,280,410,1000,17170,2537.73,40603754.37,100%
1024K,144,read,234014,239630336000,73.79,68.77,80,110,140,180,300,1590,1951.23,1998058599.8,100%
0004K,096,read,233869,935476000,49.23,48.89,50,80,100,130,200,720,1949.54,7798165.71,100%
4096K,048,read,104905,429690880000,54.87,34,60,70,80,90,110,230,874.42,3581617285.65,100%
0016K,384,read,304072,4865152000,151.33,151.25,130,190,290,420,1010,6640,2537.42,40598797.75,100%
8192K,384,read,91218,747257856000,503.59,237.64,450,630,870,1190,2330,10710,762.47,6246184271.4,100%
0016K,312,read,297406,4758496000,125.59,125.52,110,170,250,360,810,8280,2484.05,39744723.95,100%
8192K,024,read,32126,263176192000,89.58,32.61,100,110,120,130,150,260,267.86,2194309232.26,100%
0016K,240,read,288350,4613600000,99.78,99.7,90,140,200,280,570,2980,2405.15,38482422.65,100%
0064K,256,read,282224,18062336000,108.73,108.44,100,150,220,310,660,4620,2354.23,150670529.53,100%
0064K,240,read,279388,17880832000,102.98,102.69,90,140,210,290,590,4220,2330.38,149144296.06,100%
4096K,312,read,242392,992837632000,154.32,126.4,140,190,240,320,580,24020,2021.35,8279443115.98,100%
8192K,288,read,89017,729227264000,387.4,178.54,360,500,650,850,1490,4600,743.38,6089803100.05,100%
0004K,144,read,266544,1066176000,64.79,64.47,70,100,130,170,290,1640,2222.15,8888611.34,100%
0064K,312,read,276621,17703744000,135.1,134.81,110,160,240,360,830,23300,2308.78,147761819.45,100%
4096K,256,read,239835,982364160000,127.98,102.79,130,170,210,270,450,2880,1999.98,8191910343.06,100%
0004K,384,read,307811,1231244000,149.59,149.34,130,190,270,390,940,9420,2566.87,10267476.05,100%
8192K,144,read,80210,657080320000,215.22,93.02,220,280,330,390,540,1930,669.01,5480533390.01,100%
1024K,408,read,278428,285110272000,175.21,170.08,130,220,330,510,1310,9930,2328.43,2384311191.05,100%
1024K,384,read,275855,282475520000,166.42,161.3,130,210,320,490,1280,11420,2307.06,2362428919.54,100%
1024K,192,read,251159,257186816000,91.67,86.61,90,130,180,230,420,2270,2094.24,2144506749.79,100%
0064K,288,read,286331,18325184000,120.5,120.21,100,160,240,350,770,6560,2389.81,152947866.14,100%
8192K,192,read,85511,700506112000,269.03,119.87,270,350,430,520,800,2370,713.63,5846020727.38,100%
8192K,256,read,87339,715481088000,351.11,161.58,340,450,580,740,1260,4490,729.07,5972565548.44,100%
1024K,240,read,262087,268377088000,109.78,104.69,100,150,210,290,580,3510,2185.87,2238326128.87,100%
0064K,024,read,102115,6535360000,28.19,27.93,40,40,50,60,80,170,851.07,54468279.62,100%
0256K,384,read,287221,73528576000,160.13,158.95,120,200,310,470,1200,18490,2397.82,613841681.12,100%
0064K,384,read,293892,18809088000,155.8,155.5,120,200,310,470,1150,10990,2464.37,157719529.72,100%
0016K,336,read,298996,4783936000,134.7,134.63,110,180,260,380,870,6650,2494.17,39906797.22,100%
0016K,288,read,296829,4749264000,116.29,116.21,100,160,230,330,720,6300,2476.3,39620800.91,100%
0004K,024,read,103658,414632000,27.76,27.3,30,40,50,60,80,330,863.97,3455871.83,100%
0256K,048,read,151959,38901504000,37.89,36.63,40,60,70,80,120,18870,1266.52,324228649.68,100%
0064K,360,read,290809,18611776000,147.63,147.34,110,180,280,430,1130,8280,2438,156032192.95,100%
0256K,312,read,280230,71738880000,133.42,132.23,110,180,260,390,900,4070,2338.27,598597270.32,100%
4096K,024,read,58802,240852992000,48.95,29.82,60,60,70,80,100,200,490.12,2007513800.88,100%
