ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
0256K,240,read,79273,20293888000,360.44,359.36,30,880,1500,1850,2540,3090,665.85,170456476.36,100%
0004K,048,read,61419,245676000,93.64,92.98,20,90,450,600,730,1850,512.57,2050282.85,100%
0064K,192,read,126658,8106112000,181.28,181.01,30,200,860,1150,1330,2300,1059.07,67780603.93,100%
0064K,096,read,126227,8078528000,91.14,90.87,30,110,390,520,640,970,1053.21,67405710,100%
0064K,384,read,127681,8171584000,358.44,358.16,30,910,1580,1840,2480,4010,1071.31,68563544.86,100%
0064K,288,read,126044,8066816000,272.73,272.46,30,490,1190,1550,1950,3890,1055.94,67580376.25,100%
0016K,384,read,223515,3576240000,206,205.92,40,160,900,1290,1690,2110,1863.99,29823791.59,100%
0004K,240,read,336756,1347024000,85.48,85.05,80,100,120,380,760,1050,2807.26,11229039.52,100%
8192K,256,read,8634,70729728000,3408.72,1668.62,3180,7340,10140,11670,16510,32130,75.13,615464631.82,100%
0064K,240,read,127840,8181760000,224.18,223.91,30,210,1070,1470,1700,2060,1070.56,68516139.08,100%
0016K,360,read,186229,2979664000,231.2,231.12,30,210,1060,1360,1910,2620,1557.04,24912662.94,100%
1024K,256,read,49930,51128320000,608.1,603.78,40,710,2750,4080,4710,12210,421.06,431163577.2,100%
0004K,312,read,342796,1371184000,109.12,108.79,110,130,170,370,680,1130,2858.99,11435979.42,100%
0004K,024,read,180153,720612000,15.96,15.14,20,30,50,60,110,630,1503.37,6013479.44,100%
0256K,312,read,80603,20634368000,459.24,458.16,30,500,2070,3070,3610,5210,679.32,173906654.81,100%
0016K,048,read,204626,3274016000,28.14,28.06,20,50,80,110,190,700,1705.58,27289241.66,100%
0004K,288,read,318301,1273204000,108.54,108.13,90,130,220,560,820,1290,2653.28,10613123.82,100%
0064K,408,read,126926,8123264000,382.98,382.71,30,800,1610,2170,2660,6940,1065.26,68176376.62,100%
0016K,312,read,214984,3439744000,174.02,173.94,30,160,760,1070,1530,2320,1792.84,28685439.04,100%
1024K,144,read,49518,50706432000,345.74,341.39,40,360,1660,2270,2630,7640,416.45,426449430.01,100%
0064K,256,read,127152,8137728000,240.69,240.41,30,210,1250,1610,1840,3400,1063.57,68068708.49,100%
0256K,384,read,78037,19977472000,584.29,583.2,30,1650,2470,2920,3550,4120,657.17,168235149.81,100%
1024K,384,read,50091,51293184000,899.95,895.62,40,2150,4040,5010,6470,10510,426.66,436902298.04,100%
0256K,048,read,79289,20297984000,72.52,71.42,30,90,280,390,490,1050,661.75,169409064.45,100%
4096K,408,read,21352,87457792000,2193.55,2175.68,100,5720,9600,11110,13630,14630,186.03,761961631.16,100%
4096K,312,read,21109,86462464000,1701.25,1683.39,90,3060,7520,9400,12540,24420,183.41,751240406.89,100%
8192K,096,read,10113,82845696000,1124.86,550.88,700,2470,3470,3930,5120,8490,85.35,699194730.65,100%
0016K,240,read,184862,2957792000,155.35,155.27,20,130,700,1060,1400,1720,1544.8,24716824.84,100%
8192K,192,read,9946,81477632000,2224.32,1122.21,310,4840,8720,9160,15790,19090,86.33,707232758.88,100%
0016K,288,read,220531,3528496000,156.63,156.55,40,190,610,910,1410,1840,1838.57,29417094.5,100%
4096K,384,read,21378,87564288000,2057.3,2039.39,100,5200,8890,11030,13150,18690,186.75,764916372.7,100%
0256K,408,read,78361,20060416000,617.54,616.45,30,1140,2780,3680,4510,5080,660.68,169132971.53,100%
0004K,360,read,340763,1363052000,126.72,126.39,120,150,210,510,830,1180,2840.76,11363050.77,100%
1024K,288,read,48610,49776640000,700.61,696.3,40,1470,3180,3970,4940,8080,411.1,420963271.47,100%
8192K,336,read,7870,64471040000,4771.78,2328.68,2640,10510,13750,18080,24640,38810,70.58,578229861.97,100%
1024K,192,read,48664,49831936000,469.76,465.43,40,980,1950,2570,3430,8910,408.69,418493937.73,100%
1024K,048,read,48801,49972224000,117.79,113.45,40,140,470,650,790,1450,407.46,417238581.73,100%
0004K,192,read,348918,1395672000,66.01,65.64,70,90,110,200,480,840,2908.5,11634009.98,100%
0016K,336,read,213338,3413408000,188.65,188.58,40,250,720,1180,1560,2000,1780.95,28495253.48,100%
8192K,360,read,7553,61874176000,5350.35,2622.91,4930,11900,13940,15920,24870,49910,67.35,551766703.81,100%
4096K,192,read,20510,84008960000,1102,1084.18,90,2470,4520,5570,7990,9090,174.28,713833926.13,100%
1024K,096,read,48429,49591296000,214.58,210.21,40,230,940,1320,1680,2400,442.55,453174365.86,100%
8192K,024,read,10010,82001920000,286.89,132.36,210,510,710,860,1180,1960,83.65,685263948.97,100%
0064K,048,read,125458,8029312000,45.88,45.62,30,60,160,230,310,520,1045.9,66937643.33,100%
0256K,144,read,79753,20416768000,215.4,214.31,30,370,920,1240,1540,1830,668.51,171139679.92,100%
0064K,144,read,127765,8176960000,134.9,134.63,30,140,600,840,1000,1210,1067.36,68311355.32,100%
0004K,256,read,342967,1371868000,89.54,89.14,80,100,160,390,720,1130,2858.94,11435754.34,100%
8192K,312,read,7751,63496192000,4418.91,2235.16,3400,10010,12610,14640,21800,33190,70.6,578346415.2,100%
0004K,048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4096K,024,read,20136,82477056000,142.74,124.99,80,180,430,590,820,1170,168.11,688577901.01,100%
0004K,408,read,347089,1388356000,140.95,140.62,130,160,200,410,1040,3400,2894.56,11578236.77,100%
1024K,312,read,48753,49923072000,751.27,746.95,40,1560,3220,4140,5600,11500,415.33,425302159.73,100%
0256K,256,read,79484,20347904000,383.77,382.69,30,680,1700,2230,2940,4550,666.97,170744469.38,100%
4096K,096,read,20354,83369984000,557.76,539.92,80,390,2360,3730,4160,4520,172.09,704883512.03,100%
4096K,240,read,20705,84807680000,1352.19,1334.31,90,3260,5830,6930,10290,22810,177.54,727185571.16,100%
0016K,096,read,211676,3386816000,54.4,54.32,20,70,180,300,500,760,1764.51,28232170.16,100%
0016K,256,read,216973,3471568000,141.52,141.44,30,180,560,820,1210,1610,1808.78,28940473.99,100%
0256K,288,read,77168,19755008000,444.18,443.1,30,1230,1860,2210,3190,4720,648.34,165975608.59,100%
0004K,144,read,350756,1403024000,49.24,48.76,50,70,100,200,360,660,2923.93,11695704.5,100%
0016K,024,read,161863,2589808000,17.78,17.7,20,30,50,60,100,530,1349.03,21584434.41,100%
0256K,360,read,78825,20179200000,540.44,539.35,30,1370,2390,2860,3840,4520,666.31,170574513.41,100%
0064K,024,read,122276,7825664000,23.54,23.27,20,40,60,80,130,240,1019.1,65222702.53,100%
8192K,288,read,7615,62382080000,4320.34,2115.56,4370,9510,11370,14910,20260,30160,66.68,546238824.46,100%
4096K,048,read,20072,82214912000,285.83,267.96,80,320,1170,1560,1890,2260,167.91,687759833.97,100%
8192K,144,read,9833,80551936000,1710.17,840.77,660,3850,5850,6460,9140,13300,84.21,689844372.51,100%
0064K,336,read,126639,8104896000,316.31,316.03,30,680,1380,1720,2240,2690,1062.19,67979963.17,100%
4096K,360,read,20595,84357120000,2021.98,2004.06,100,4850,8540,10100,12950,14200,178.08,729409924.23,100%
0256K,096,read,79613,20380928000,144.4,143.3,30,110,710,930,1060,1340,664.8,170189632.27,100%
1024K,336,read,50437,51647488000,786.69,782.37,40,2150,3390,4050,4850,9220,427.06,437313757.52,100%
8192K,048,read,9777,80093184000,585.81,278.37,310,1200,1700,1980,2710,4630,81.93,671202247.38,100%
4096K,144,read,20564,84230144000,823.72,805.88,90,1680,3680,4520,5620,7790,174.86,716246963.44,100%
8192K,384,read,7761,63578112000,5520.58,2707.8,2960,12650,15460,17180,27790,33790,69.58,570006126.94,100%
