ObjSize, Workers, WriteBytes, WriteBW, WriteIOPs, ReadBytes, ReadBW, ReadIOPs, WriteRespTime, ReadRespTime, WriteProcTime, ReadProcTime
1024K, 0384,  14219821312, 79076921,        82,   19691818666, 11595401,       108,      193,      148,      185,      143
1024K, 0576,  14164257877, 79882798,        83,   20599125333, 17419229,       114,      286,      208,      278,      203
1024K, 0768,  14418804394, 82092051,        86,   17570645333, 20935258,       118,      370,      270,      362,      265
1024K, 0960,  14349150208, 81924057,        86,   19544490666, 09846025,       107,      463,      372,      455,      367
1024K, 1152,  14328562602, 83421932,        88,   19302144000, 08588764,       106,      546,      452,      538,      447
1024K, 1344,  14043110058, 83328885,        88,   23555072000, 32082759,       128,      630,      434,      621,      428
1024K, 1536,  12011734186, 68981806,        73,   19384618666, 08860889,       106,      866,      601,      859,      596
1024K, 1728,  14132637440, 82426221,        87,   23456725333, 32097285,       129,      809,      558,      800,      552
2048K, 0024,   5505334613, 30592324,        15,    7025408000, 39035781,        19,       65,       52,       52,       43
2048K, 0048,  12466914560, 69274313,        35,   15467861333, 85945599,        41,       56,       47,       42,       37
2048K, 0096,  14506449408, 15765280,        58,   21114538666, 17332855,        57,       68,       69,       52,       59
2048K, 0192,  20934540458, 16367095,        60,   24666624000, 37129339,        66,      132,      119,      116,      108
2048K, 0384,  22526892373, 25692985,        66,   26223701333, 47360553,        71,      241,      223,      221,      212
2048K, 0576,  22616784298, 31696945,        69,   28589824000, 64627372,        80,      344,      300,      320,      289
2048K, 0768,  22873515861, 33444105,        70,   29889280000, 71214961,        83,      450,      383,      424,      372
2048K, 0960,  23151884117, 33634307,        71,   29136725333, 66798831,        81,      563,      491,      533,      480
2048K, 1152,  23068738304, 36530125,        72,   28112640000, 60418994,        78,      656,      612,      625,      601
2048K, 1344,  22839097173, 33220700,        70,   28156416000, 59436576,        77,      791,      717,      758,      706
2048K, 1536,  22585793109, 38056396,        73,   28597845333, 62070995,        79,      870,      806,      827,      795
2048K, 1728,  22702866346, 33961441,        73,   27918762666, 57935804,        77,      969,      937,      928,      926
4096K, 0024,  10972688640, 60971205,        15,   11553962666, 64199548,        15,       65,       63,       39,       44
4096K, 0048,  17960400042, 99800734,        25,   17923925333, 99602484,        24,       78,       82,       50,       62
4096K, 0096,  25404338858, 41191732,        36,   24067242666, 33760860,        32,      109,      122,       77,      101
4096K, 0192,  29570080085, 64386954,        42,   27894101333, 55278663,        37,      187,      211,      145,      189
4096K, 0384,  29753798229, 67908606,        44,   29701120000, 67437478,        40,      365,      393,      292,      371
4096K, 0576,  29954198101, 66850297,        44,   31090005333, 78926333,        43,      547,      550,      454,      528
4096K, 0768,  29038012928, 67305305,        44,   31625557333, 88656325,        46,      725,      693,      619,      671
4096K, 0960,  29589463466, 65034961,        44,   31279274666, 11132027,        51,      915,      746,      783,      724
4096K, 1152,  29393183232, 65403432,        44,   30666069333, 88183494,        45,     1096,     1036,      961,     1014
4096K, 1344,  28998766848, 62172129,        43,   30867797333, 82643873,        44,     1299,     1247,     1135,     1225
4096K, 1536,  28656145237, 60145023,        43,   32245930666, 83981615,        44,     1504,     1422,     1329,     1400
4096K, 1728,  28493151744, 59380832,        43,   29928960000, 74606812,        42,     1698,     1670,     1519,     1648
8192K, 0024,  12203213653, 67815974,         8,   12204032000, 67821846,         8,      117,      120,       60,       48
8192K, 0048,  20972191232, 16553589,        14,   18013866666, 00131721,        12,      134,      163,       71,       69
8192K, 0096,  31180083370, 73321052,        22,   23243776000, 29237657,        15,      176,      253,      104,      113
8192K, 0192,  33689515690, 87375276,        25,   25553578666, 42270366,        17,      322,      460,      199,      215
8192K, 0384,  31402457088, 85600786,        24,   26610005333, 49839886,        18,      652,      876,      422,      423
8192K, 0576,  32957335210, 83778576,        24,   27252394666, 57785824,        19,      983,     1252,      680,      603
8192K, 0768,  32682196906, 82387670,        24,   27034282666, 17178279,        26,     1322,     1217,      970,      607
8192K, 0960,  32173424042, 79913503,        24,   26607274666, 64217366,        20,     1674,     1921,     1290,      950
8192K, 1152,  31983635882, 79235198,        24,   27288576000, 60894663,        19,     2015,     2415,     1628,     1197
8192K, 1344,  31566880170, 77319373,        23,   26195626666, 76138899,        21,     2379,     2401,     1957,     1187
8192K, 1536,  31348607744, 75664395,        23,   27056810666, 62527031,        19,     2743,     3105,     2286,     1548
8192K, 1728,  30968448085, 73958419,        23,   26864298666, 58612718,        19,     3118,     3637,     2655,     1800
