Id,Name,Submitted-At,Started-At,Stopped-At,Op-Info,State,Detailed State
w35,HARRIER_W312_OBJ064K,2020-01-14 15:54:59,2020-01-15 12:26:41,2020-01-15 13:04:58,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:54:59,processing @ 2020-01-15 12:26:41,finished @ 2020-01-15 13:04:58
w36,HARRIER_W336_OBJ064K,2020-01-14 15:55:00,2020-01-15 13:04:59,2020-01-15 13:44:16,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:00,processing @ 2020-01-15 13:04:59,finished @ 2020-01-15 13:44:16
w37,HARRIER_W360_OBJ064K,2020-01-14 15:55:00,2020-01-15 13:44:17,2020-01-15 14:22:54,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:00,processing @ 2020-01-15 13:44:17,finished @ 2020-01-15 14:22:54
w38,HARRIER_W384_OBJ064K,2020-01-14 15:55:00,2020-01-15 14:22:55,2020-01-15 15:01:48,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:00,processing @ 2020-01-15 14:22:55,finished @ 2020-01-15 15:01:48
w39,HARRIER_W408_OBJ064K,2020-01-14 15:55:00,2020-01-15 15:01:48,2020-01-15 15:40:46,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:00,processing @ 2020-01-15 15:01:48,finished @ 2020-01-15 15:40:46
w40,HARRIER_W024_OBJ256K,2020-01-14 15:55:01,2020-01-15 15:40:46,2020-01-15 16:20:44,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:01,processing @ 2020-01-15 15:40:46,finished @ 2020-01-15 16:20:44
w41,HARRIER_W048_OBJ256K,2020-01-14 15:55:01,2020-01-15 16:20:44,2020-01-15 17:00:22,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:01,processing @ 2020-01-15 16:20:44,finished @ 2020-01-15 17:00:22
w42,HARRIER_W096_OBJ256K,2020-01-14 15:55:01,2020-01-15 17:00:22,2020-01-15 17:40:15,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:01,processing @ 2020-01-15 17:00:22,finished @ 2020-01-15 17:40:15
w43,HARRIER_W144_OBJ256K,2020-01-14 15:55:02,2020-01-15 17:40:15,2020-01-15 18:19:33,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:02,processing @ 2020-01-15 17:40:15,finished @ 2020-01-15 18:19:33
w44,HARRIER_W192_OBJ256K,2020-01-14 15:55:02,2020-01-15 18:19:33,2020-01-15 18:59:31,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:02,processing @ 2020-01-15 18:19:33,finished @ 2020-01-15 18:59:31
w45,HARRIER_W240_OBJ256K,2020-01-14 15:55:02,2020-01-15 18:59:31,2020-01-15 19:39:14,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:02,processing @ 2020-01-15 18:59:31,finished @ 2020-01-15 19:39:14
w46,HARRIER_W256_OBJ256K,2020-01-14 15:55:02,2020-01-15 19:39:15,2020-01-15 20:19:22,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:02,processing @ 2020-01-15 19:39:15,finished @ 2020-01-15 20:19:22
w47,HARRIER_W288_OBJ256K,2020-01-14 15:55:03,2020-01-15 20:19:23,2020-01-15 20:58:45,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:03,processing @ 2020-01-15 20:19:23,finished @ 2020-01-15 20:58:45
w48,HARRIER_W312_OBJ256K,2020-01-14 15:55:03,2020-01-15 20:58:46,2020-01-15 21:38:43,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:03,processing @ 2020-01-15 20:58:46,finished @ 2020-01-15 21:38:43
w49,HARRIER_W336_OBJ256K,2020-01-14 15:55:03,2020-01-15 21:38:44,2020-01-15 22:18:41,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:03,processing @ 2020-01-15 21:38:44,finished @ 2020-01-15 22:18:41
w50,HARRIER_W360_OBJ256K,2020-01-14 15:55:03,2020-01-15 22:18:42,2020-01-15 22:58:10,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:03,processing @ 2020-01-15 22:18:42,finished @ 2020-01-15 22:58:10
w51,HARRIER_W384_OBJ256K,2020-01-14 15:55:04,2020-01-15 22:58:10,2020-01-15 23:38:13,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:04,processing @ 2020-01-15 22:58:10,finished @ 2020-01-15 23:38:13
w52,HARRIER_W408_OBJ256K,2020-01-14 15:55:04,2020-01-15 23:38:13,2020-01-16 00:17:51,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:04,processing @ 2020-01-15 23:38:13,finished @ 2020-01-16 00:17:51
w53,HARRIER_W024_OBJ1024K,2020-01-14 15:55:04,2020-01-16 00:17:51,2020-01-16 01:01:34,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:04,processing @ 2020-01-16 00:17:51,finished @ 2020-01-16 01:01:34
w54,HARRIER_W048_OBJ1024K,2020-01-14 15:55:05,2020-01-16 01:01:34,2020-01-16 01:52:02,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:05,processing @ 2020-01-16 01:01:34,finished @ 2020-01-16 01:52:02
w55,HARRIER_W096_OBJ1024K,2020-01-14 15:55:05,2020-01-16 01:52:02,2020-01-16 02:36:45,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:05,processing @ 2020-01-16 01:52:02,finished @ 2020-01-16 02:36:45
w56,HARRIER_W144_OBJ1024K,2020-01-14 15:55:05,2020-01-16 02:36:45,2020-01-16 03:21:28,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:05,processing @ 2020-01-16 02:36:45,finished @ 2020-01-16 03:21:28
w57,HARRIER_W192_OBJ1024K,2020-01-14 15:55:05,2020-01-16 03:21:28,2020-01-16 04:05:26,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:05,processing @ 2020-01-16 03:21:28,finished @ 2020-01-16 04:05:26
w58,HARRIER_W240_OBJ1024K,2020-01-14 15:55:06,2020-01-16 04:05:26,2020-01-16 04:49:09,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:06,processing @ 2020-01-16 04:05:26,finished @ 2020-01-16 04:49:09
w59,HARRIER_W256_OBJ1024K,2020-01-14 15:55:06,2020-01-16 04:49:10,2020-01-16 05:33:27,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:06,processing @ 2020-01-16 04:49:10,finished @ 2020-01-16 05:33:27
