zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mirror,1579332111918,randrw,4k,1,180,1470365696,8167836,249.848437,62.423693,1474531328,8190976,250.62998,62.619123
mirror,1579378977923,randrw,4k,2,180,2146959360,11912264,182.457796,45.590462,2149412864,11925877,182.71542,45.654837
mirror,1579387128566,randrw,4k,4,180,2450903040,13606225,103.867447,25.927274,2446684160,13582804,103.705581,25.886802
mirror,1579432670425,randrw,4k,8,180,2586628096,14343063,54.763664,13.652059,2582548480,14320441,54.700109,13.636251
mirror,1579441950539,randrw,512k,12,180,130150825984,721181067,2155.054114,4.150008,130362114048,722351839,2162.490407,4.164737
mirror,1579333197340,randrw,512k,1,180,99687071744,553383581,16846.220103,32.853381,100115939328,555764314,16911.577027,32.981104
mirror,1579380064436,randrw,512k,2,180,132143120384,733961266,11160.045019,21.745362,131785031680,731972337,11132.363113,21.691317
mirror,1579388216436,randrw,512k,4,180,131088777216,727632285,5603.15203,10.883142,130799370240,726025878,5597.411445,10.872041
mirror,1579433761125,randrw,512k,8,180,137883025408,763150752,3082.653988,5.961168,137711058944,762198958,3077.987813,5.951435
mirror,1579441585930,randrw,64k,12,180,43051319296,238382037,635.724137,9.878414,42934337536,237734291,633.655476,9.84621
mirror,1579332835385,randrw,64k,1,180,25128075264,139574829,4249.77116,66.355538,25201606656,139983262,4262.19199,66.549673
mirror,1579379702184,randrw,64k,2,180,37429248000,207857123,3166.186862,49.422567,37469749248,208082040,3170.195548,49.485247
mirror,1579387853604,randrw,64k,4,180,45180780544,250661765,1914.594799,29.865153,45178159104,250647221,1914.633914,29.865812
mirror,1579433396599,randrw,64k,8,180,46924365824,260557747,996.161357,15.511917,46849785856,260143625,993.824318,15.475336
mirror,1579441039339,randrw,8k,12,180,5601550336,31095366,82.34746,10.244516,5591072768,31037202,82.141922,10.218889
mirror,1579332292763,randrw,8k,1,180,4250705920,23609523,718.518251,89.7676,4258701312,23653932,719.863822,89.936213
mirror,1579379159068,randrw,8k,2,180,5976006656,33149208,505.176875,63.098951,5982486528,33185152,505.655872,63.158875
mirror,1579387309768,randrw,8k,4,180,6700867584,37194393,284.457005,35.509047,6694854656,37161017,284.159567,35.471784
mirror,1579432851807,randrw,8k,8,180,6606651392,36687109,140.272858,17.482611,6597222400,36634749,139.94072,17.441203
mirror,1579445049743,randwrite,128k,12,180,0,0,0,0,240502046720,1334906233,3362.817307,26.209696
mirror,1579336272198,randwrite,128k,1,180,0,0,0,0,262304825344,1457176170,44401.105647,346.857776
mirror,1579383141835,randwrite,128k,2,180,0,0,0,0,257034420224,1427937269,21691.195527,169.417769
mirror,1579391298387,randwrite,128k,4,180,0,0,0,0,236776587264,1315104014,9966.114708,77.80557
mirror,1579436850528,randwrite,128k,8,180,0,0,0,0,251702411264,1397888532,5285.985065,41.238008
mirror,1579444503387,randwrite,16k,12,180,0,0,0,0,18281398272,101312294,256.403777,15.966677
mirror,1579335729615,randwrite,16k,1,180,0,0,0,0,20957724672,116401410,3544.026844,221.46486
mirror,1579382598930,randwrite,16k,2,180,0,0,0,0,17597267968,97695298,1489.165277,93.030435
mirror,1579390754582,randwrite,16k,4,180,0,0,0,0,17667244032,98088687,745.504468,46.542319
mirror,1579436305255,randwrite,16k,8,180,0,0,0,0,18534858752,102868568,390.301739,24.339739
mirror,1579445415220,randwrite,1M,12,180,0,0,0,0,248320622592,1378157887,3900.376351,3.737773
mirror,1579336634200,randwrite,1M,1,180,0,0,0,0,256632684544,1425634173,43297.686112,42.214047
mirror,1579383504154,randwrite,1M,2,180,0,0,0,0,264871346176,1470829263,22322.814342,21.726201
mirror,1579391661375,randwrite,1M,4,180,0,0,0,0,258463498240,1434012240,10919.246238,10.589148
mirror,1579437214897,randwrite,1M,8,180,0,0,0,0,268894732288,1492897534,5672.818773,5.469507
mirror,1579445600347,randwrite,2M,12,180,0,0,0,0,253134635008,1399376613,4763.735046,2.250689
mirror,1579336815499,randwrite,2M,1,180,0,0,0,0,266975838208,1482960179,44892.266589,21.850496
mirror,1579383685750,randwrite,2M,2,180,0,0,0,0,264610250752,1469616063,22172.123177,10.754151
mirror,1579391843463,randwrite,2M,4,180,0,0,0,0,258448818176,1434878153,10984.125142,5.287441
mirror,1579437398342,randwrite,2M,8,180,0,0,0,0,264455061504,1464265093,6354.504431,3.02832
mirror,1579444685398,randwrite,32k,12,180,0,0,0,0,50550800384,280135883,713.584145,22.242596
mirror,1579335910479,randwrite,32k,1,180,0,0,0,0,35949051904,199660384,6073.545241,189.758249
mirror,1579382779919,randwrite,32k,2,180,0,0,0,0,49163042816,273005163,4146.308989,129.525481
mirror,1579390936036,randwrite,32k,4,180,0,0,0,0,49463263232,274180523,2079.413946,64.932097
mirror,1579436487059,randwrite,32k,8,180,0,0,0,0,51407912960,284647528,1083.995639,33.81346
mirror,1579444139237,randwrite,4k,12,180,0,0,0,0,4243218432,23491086,60.340714,15.041241
mirror,1579335367801,randwrite,4k,1,180,0,0,0,0,2268332032,12594987,384.294056,96.035315
mirror,1579382236914,randwrite,4k,2,180,0,0,0,0,3498602496,19404124,296.220778,74.013703
mirror,1579390392063,randwrite,4k,4,180,0,0,0,0,4058447872,22528159,171.693464,42.878267
mirror,1579435942309,randwrite,4k,8,180,0,0,0,0,4340396032,24045316,91.954467,22.941372
mirror,1579445232081,randwrite,512k,12,180,0,0,0,0,254054760448,1408699675,3582.787593,6.927611
mirror,1579336453188,randwrite,512k,1,180,0,0,0,0,261504368640,1452737481,44023.108273,85.922762
mirror,1579383322931,randwrite,512k,2,180,0,0,0,0,264161460224,1467343566,22223.35509,43.34392
mirror,1579391479805,randwrite,512k,4,180,0,0,0,0,256969277440,1426885726,10824.838005,21.074174
mirror,1579437032416,randwrite,512k,8,180,0,0,0,0,261756551168,1453686195,5489.635999,10.649542
mirror,1579444867858,randwrite,64k,12,180,0,0,0,0,72382021632,400252274,1020.653409,15.889945
mirror,1579336091369,randwrite,64k,1,180,0,0,0,0,86758457344,481876314,14678.917587,229.324089
mirror,1579382960907,randwrite,64k,2,180,0,0,0,0,69418156032,385577164,5879.163168,91.81514
mirror,1579391117220,randwrite,64k,4,180,0,0,0,0,70240698368,389834102,2964.939107,46.273516
mirror,1579436669053,randwrite,64k,8,180,0,0,0,0,74103390208,409872951,1563.591975,24.374523
mirror,1579444321453,randwrite,8k,12,180,0,0,0,0,12269527040,67931186,173.835669,21.676831
mirror,1579335548725,randwrite,8k,1,180,0,0,0,0,8022999040,44553652,1354.866609,169.317325
mirror,1579382417882,randwrite,8k,2,180,0,0,0,0,11064623104,61452034,932.262525,116.488061
mirror,1579390573405,randwrite,8k,4,180,0,0,0,0,12062851072,66907300,506.853824,63.308528
mirror,1579436123742,randwrite,8k,8,180,0,0,0,0,12573458432,69787024,263.505516,32.887533
mirror,1579438488575,read,128k,12,180,2477821526016,13756198652,34998.253495,273.398718,0,0,0,0
mirror,1579329759944,read,128k,1,180,591522430976,3285031216,100201.256341,782.795605,0,0,0,0
mirror,1579376624588,read,128k,2,180,1188565221376,6601379750,100721.441958,786.871753,0,0,0,0
mirror,1579384772400,read,128k,4,180,1397902278656,7762759907,59168.035748,462.229124,0,0,0,0
mirror,1579430308253,read,128k,8,180,4058164101120,22539971568,85899.536232,671.029835,0,0,0,0
mirror,1579437943434,read,16k,12,180,2463788072960,13668727173,34791.526875,2174.439767,0,0,0,0
mirror,1579329217414,read,16k,1,180,633393889280,3517877752,107379.499348,6711.196368,0,0,0,0
mirror,1579376081833,read,16k,2,180,1204856045568,6692417754,102126.12109,6382.855535,0,0,0,0
mirror,1579384229161,read,16k,4,180,1376255180800,7639199036,58325.734018,3645.335338,0,0,0,0
mirror,1579429764172,read,16k,8,180,3639720099840,20219993221,77094.387628,4818.35476,0,0,0,0
mirror,1579438852257,read,1M,12,180,2654057005056,14729377123,37543.482459,36.610546,0,0,0,0
mirror,1579330121662,read,1M,1,180,596287422464,3311751174,101176.492255,98.773081,0,0,0,0
mirror,1579376986402,read,1M,2,180,1234645811200,6855639402,104783.229463,102.286621,0,0,0,0
mirror,1579385134568,read,1M,4,180,1465525469184,8136248392,62197.903342,60.694503,0,0,0,0
