zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579468174062,,,,,14976024576,83198287,81150.836111,633.822222,14941552640,83006781,80978.177778,632.475
raidz1,1579476308884,,,,,16487022592,91589481,44656.351389,348.638889,16492003328,91617150,44670.568056,348.751389
raidz1,1579484443710,,,,,24662376448,137005591,33416.128562,260.920778,24655429632,136966999,33402.612231,260.817234
raidz1,1579493049584,,,,,29986521088,166563097,20283.706944,158.384028,30012080128,166705068,20302.465278,158.529861
raidz1,1579501110706,,,,,2225291264,12360600,1001.67115,62.521104,2231615488,12395729,1004.834416,62.718692
raidz1,1579467631915,,,,,1134247936,6300992,6146.530556,384.002778,1128087552,6266770,6111.133333,381.794444
raidz1,1579475766686,,,,,1038876672,5771408,2817.557103,175.785515,1043513344,5797167,2828.732591,176.487465
raidz1,1579483901541,,,,,1520975872,8449396,2062.089833,128.700557,1527398400,8485075,2070.85376,129.249304
raidz1,1579492507194,,,,,1835139072,10194141,1241.886838,77.486072,1836285952,10200511,1242.644847,77.533426
raidz1,1579502014762,,,,,48365568000,268617014,21785.733818,21.220685,48998907904,272134514,22056.723095,21.485346
raidz1,1579468535675,,,,,15580790784,86554178,84341.852368,82.206128,15513681920,86181376,84022.866295,81.89415
raidz1,1579476670525,,,,,22675456000,125951664,61285.736769,59.721448,22845325312,126895209,61770.689415,60.194986
raidz1,1579484805353,,,,,35235299328,195724478,47553.866806,46.343096,35482763264,197099087,47957.505579,46.737796
raidz1,1579493411312,,,,,45091913728,250439673,30490.116678,29.716538,45416972288,252245043,30694.639103,29.916258
raidz1,1579502195786,,,,,53416558592,296628471,24203.90189,11.712611,53821308928,298876098,24352.456174,11.78481
raidz1,1579468716636,,,,,20250099712,112493679,109382.442897,53.178273,20203962368,112237376,109133.002786,53.05571
raidz1,1579476851478,,,,,28399632384,157757330,76468.915042,37.249304,28779216896,159865887,77581.164345,37.792479
raidz1,1579484986397,,,,,36777754624,204252774,49579.87798,24.075736,37757124608,209691906,51007.047686,24.772791
raidz1,1579493592367,,,,,50992250880,283085831,34450.745403,16.756365,51745128448,287265466,34998.768116,17.023683
