zfs_config,timestamp,pattern,config,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579475766686,randrw,mach2_zfs_raidz1,16k,64G,2,180,1038876672,5771408,2817.557103,175.785515,1043513344,5797167,2828.732591,176.487465
raidz1,1579483901541,randrw,mach2_zfs_raidz1,16k,64G,4,180,1520975872,8449396,2062.089833,128.700557,1527398400,8485075,2070.85376,129.249304
raidz1,1579492507194,randrw,mach2_zfs_raidz1,16k,64G,8,180,1835139072,10194141,1241.886838,77.486072,1836285952,10200511,1242.644847,77.533426
raidz1,1579502014762,randrw,mach2_zfs_raidz1,1M,64G,12,180,48365568000,268617014,21785.733818,21.220685,48998907904,272134514,22056.723095,21.485346
raidz1,1579595344481,randrw,mach2_zfs_raidz1,1M,64G,16,180,59303264256,329374745,20028.254798,19.510653,59832795136,332315799,20191.669307,19.670363
raidz1,1579468535675,randrw,mach2_zfs_raidz1,1M,64G,1,180,15580790784,86554178,84341.852368,82.206128,15513681920,86181376,84022.866295,81.89415
raidz1,1579604413425,randrw,mach2_zfs_raidz1,1M,64G,24,180,57624494080,319940558,13038.806925,12.682866,57780731904,320808016,13084.848757,12.727403
raidz1,1579613017605,randrw,mach2_zfs_raidz1,1M,64G,28,180,53756297216,298543264,10637.750737,10.324347,53681848320,298129801,10586.282223,10.273623
raidz1,1579476670525,randrw,mach2_zfs_raidz1,1M,64G,2,180,22675456000,125951664,61285.736769,59.721448,22845325312,126895209,61770.689415,60.194986
raidz1,1579484805353,randrw,mach2_zfs_raidz1,1M,64G,4,180,35235299328,195724478,47553.866806,46.343096,35482763264,197099087,47957.505579,46.737796
raidz1,1579493411312,randrw,mach2_zfs_raidz1,1M,64G,8,180,45091913728,250439673,30490.116678,29.716538,45416972288,252245043,30694.639103,29.916258
raidz1,1579502195786,randrw,mach2_zfs_raidz1,2M,64G,12,180,53416558592,296628471,24203.90189,11.712611,53821308928,298876098,24352.456174,11.78481
raidz1,1579595525572,randrw,mach2_zfs_raidz1,2M,64G,16,180,68845305856,382257308,23361.661942,11.358335,69048729600,383386800,23412.95343,11.383306
raidz1,1579468716636,randrw,mach2_zfs_raidz1,2M,64G,1,180,20250099712,112493679,109382.442897,53.178273,20203962368,112237376,109133.002786,53.05571
raidz1,1579604594596,randrw,mach2_zfs_raidz1,2M,64G,24,180,67417145344,374238226,15821.308227,7.656515,67572334592,375099695,15809.994834,7.650202
raidz1,1579613198792,randrw,mach2_zfs_raidz1,2M,64G,28,180,59844329472,332095811,12769.075657,6.182954,60188262400,334004408,12863.86582,6.22989
raidz1,1579476851478,randrw,mach2_zfs_raidz1,2M,64G,2,180,28399632384,157757330,76468.915042,37.249304,28779216896,159865887,77581.164345,37.792479
raidz1,1579484986397,randrw,mach2_zfs_raidz1,2M,64G,4,180,36777754624,204252774,49579.87798,24.075736,37757124608,209691906,51007.047686,24.772791
raidz1,1579493592367,randrw,mach2_zfs_raidz1,2M,64G,8,180,50992250880,283085831,34450.745403,16.756365,51745128448,287265466,34998.768116,17.023683
raidz1,1579501291474,randrw,mach2_zfs_raidz1,32k,64G,12,180,5284167680,29353388,2381.331401,74.37987,5294129152,29408724,2386.243682,74.533272
raidz1,1579594621103,randrw,mach2_zfs_raidz1,32k,64G,16,180,6549045248,36378127,2218.974359,69.182278,6567297024,36479511,2224.789327,69.363795
raidz1,1579467812633,randrw,mach2_zfs_raidz1,32k,64G,1,180,2885812224,16032022,15640.088889,488.608333,2876899328,15982507,15590.316667,487.055556
raidz1,1579603689880,randrw,mach2_zfs_raidz1,32k,64G,24,180,6772424704,37619565,1524.729617,47.519977,6811942912,37839082,1533.028917,47.779468
raidz1,1579612293984,randrw,mach2_zfs_raidz1,32k,64G,28,180,6740541440,37441420,1298.987556,40.545445,6768918528,37599045,1304.607865,40.721055
raidz1,1579475947410,randrw,mach2_zfs_raidz1,32k,64G,2,180,2678882304,14882018,7269.973538,226.983287,2681372672,14895852,7282.584958,227.377437
raidz1,1579484082258,randrw,mach2_zfs_raidz1,32k,64G,4,180,4011819008,22286397,5446.372822,169.963763,4032102400,22399075,5473.568641,170.814634
raidz1,1579492688023,randrw,mach2_zfs_raidz1,32k,64G,8,180,4359913472,24217974,2951.358386,92.169798,4362698752,24233445,2953.874347,92.248869
raidz1,1579500749189,randrw,mach2_zfs_raidz1,4k,64G,12,180,278712320,1548272,126.897146,31.630337,281014272,1561060,127.81816,31.860613
raidz1,1579594078724,randrw,mach2_zfs_raidz1,4k,64G,16,180,369471488,2052425,126.057764,31.45257,371990528,2066418,126.811617,31.641066
raidz1,1579467270484,randrw,mach2_zfs_raidz1,4k,64G,1,180,105324544,584996,570.835655,142.481894,105021440,583313,569.264624,142.091922
raidz1,1579603147552,randrw,mach2_zfs_raidz1,4k,64G,24,180,384294912,2134675,87.577179,21.840062,386162688,2145050,87.982556,21.94126
raidz1,1579611751597,randrw,mach2_zfs_raidz1,4k,64G,28,180,384978944,2138284,75.329415,18.774632,385806336,2142880,75.421112,18.797568
raidz1,1579475405242,randrw,mach2_zfs_raidz1,4k,64G,2,180,88731648,492849,240.920168,60.012605,89227264,495602,242.432773,60.390756
